                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.49227,                0.51196,                0.26543,                0.76962,                0.99769,                 0.9974,                  0.995,                0.81636,                0.96742,                0.96405,                0.96565,                0.51029,                0.75611,                 1.2351,                 0.3135,                0.79441,             0.00010666,             0.00010666,             0.00010666
                     89,                 0.4948,                0.50994,                0.26609,                0.76818,                0.99806,                0.99792,                  0.995,                0.81486,                0.96663,                0.96534,                0.96551,                0.50903,                0.75879,                 1.2581,                0.31273,                0.79475,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.49706,                0.57498,                0.27319,                0.76928,                0.99799,                 0.9966,                  0.995,                0.89748,                0.97681,                0.97485,                0.97784,                0.52864,                0.47249,                 0.6472,                0.24613,                0.78268,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.46839,                0.52403,                0.25973,                0.76818,                0.99811,                0.99687,                  0.995,                0.90369,                0.97579,                0.97444,                0.97634,                0.53009,                0.45566,                0.61128,                0.24064,                0.78211,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.46248,                0.52056,                0.25639,                0.76829,                 0.9971,                0.99612,                0.99499,                0.90537,                0.97487,                0.97385,                0.97615,                0.53541,                0.45137,                0.60247,                 0.2402,                0.78198,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.45912,                0.52062,                0.25491,                 0.7673,                0.99812,                0.99741,                  0.995,                0.90429,                0.97447,                 0.9738,                0.97563,                 0.5324,                0.45308,                0.60264,                0.23935,                0.78197,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.45768,                0.51164,                0.25231,                0.76825,                0.99802,                0.99831,                  0.995,                0.90568,                0.97541,                0.97537,                0.97607,                0.53069,                0.45122,                0.61164,                0.23779,                 0.7818,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.45861,                0.51537,                0.25383,                0.76678,                0.99843,                0.99803,                  0.995,                0.90527,                0.97615,                0.97577,                0.97649,                0.53041,                0.45254,                0.60848,                0.23775,                0.78188,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.45492,                0.51057,                0.25104,                0.76746,                0.99857,                0.99757,                  0.995,                 0.9053,                0.97575,                0.97488,                0.97658,                0.53024,                0.45253,                0.60748,                0.23769,                0.78188,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.45447,                0.51313,                0.25139,                0.76737,                0.99814,                0.99743,                  0.995,                0.90528,                0.97625,                0.97558,                  0.977,                0.53129,                0.45098,                0.60365,                0.23692,                 0.7817,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.44939,                0.50976,                0.24803,                0.76771,                0.99774,                0.99738,                  0.995,                0.90524,                0.97632,                  0.976,                0.97815,                 0.5319,                0.45032,                0.60533,                0.23699,                0.78165,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.44738,                0.50861,                0.24688,                0.76699,                0.99757,                0.99718,                  0.995,                0.90636,                0.97614,                0.97583,                 0.9781,                0.53395,                0.44843,                0.60346,                  0.237,                0.78174,             2.2916e-05,             2.2916e-05,             2.2916e-05
